id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464887583051_56264266514763	425.00 CZK	348.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464887615819_56264266547531	290.00 CZK		
shopify_ZZ_15464887714123_56264266580299	1469.00 CZK	1292.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464887779659_56264266613067	477.00 CZK		
shopify_ZZ_15464887910731_56264266645835	224.00 CZK		
shopify_ZZ_15464888041803_56264266711371	397.00 CZK		
shopify_ZZ_15464888140107_56264266809675	414.00 CZK	340.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888205643_56264266842443	416.00 CZK	346.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888303947_56264266875211	452.00 CZK	323.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888467787_56264267137355	1767.00 CZK	1305.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888664395_56264267202891	3749.00 CZK	2448.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888697163_56264267235659	5343.00 CZK	4512.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888795467_56264267268427	5343.00 CZK	4418.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464888893771_56264267301195	223.00 CZK		
shopify_ZZ_15464888992075_56264267563339	953.00 CZK	790.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464889057611_56264267596107	668.00 CZK		
shopify_ZZ_15464889155915_56264267628875	200.00 CZK		
shopify_ZZ_15464889254219_56264267661643	508.00 CZK	353.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464889319755_56264267694411	304.00 CZK		
shopify_ZZ_15464889418059_56264268677451	332.00 CZK		
shopify_ZZ_15464889450827_56264268710219	211.00 CZK		
shopify_ZZ_15464889549131_56264268742987	696.00 CZK		
shopify_ZZ_15464889581899_56264268775755	568.00 CZK		
shopify_ZZ_15464889712971_56264268808523	270.00 CZK		
shopify_ZZ_15464889778507_56264268972363	5688.00 CZK		
shopify_ZZ_15464889844043_56264269005131	205.00 CZK		
shopify_ZZ_15464889975115_56264269103435	1227.00 CZK	1104.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
